Position,Track Name,Artist,Streams,date,region,id
76,Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,4985470,2017-01-06--2017-01-13,global,2wDjpPW3HZdA9quPPmZAMu
77,Love Yourself,Justin Bieber,4943382,2017-01-06--2017-01-13,global,3hB5DgAiMAQ4DzYbsMq1IT
78,I Got You,Bebe Rexha,4915945,2017-01-06--2017-01-13,global,1FUViuNSldssMIawrOXF2i
79,Don't Leave,Snakehips,4886452,2017-01-06--2017-01-13,global,0Zx8khUcEfCFK2AEoIhC92
80,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,4884241,2017-01-06--2017-01-13,global,4dASQiO1Eoo3RJvt74FtXB
81,X (feat. Future),21 Savage,4865654,2017-01-06--2017-01-13,global,6fwdbPMwP1zVStm8FybmkO
82,Versace on the Floor,Bruno Mars,4862997,2017-01-06--2017-01-13,global,0kN8xEmgMW9mh7UmDYHlJP
83,Work,Rihanna,4828938,2017-01-06--2017-01-13,global,14WWzenpaEgQZlqPq2nk4v
84,Sorry,Justin Bieber,4799410,2017-01-06--2017-01-13,global,69bp2EbF7Q2rqc5N3ylezZ
85,iSpy (feat. Lil Yachty),KYLE,4786547,2017-01-06--2017-01-13,global,2EEeOnHehOozLq4aS0n6SL
86,The Ocean (feat. Shy Martin),Mike Perry,4713991,2017-01-06--2017-01-13,global,2CPqh63wRVscbceKcPxwvv
87,Hymn for the Weekend - Seeb Remix,Coldplay,4647831,2017-01-06--2017-01-13,global,1OAiWI2oPmglaOiv9fdioU
88,Shout Out to My Ex,Little Mix,4623980,2017-01-06--2017-01-13,global,0YHUITU3w6ws1v8ehT264g
89,Controlla,Drake,4622678,2017-01-06--2017-01-13,global,6F609ICg9Spjrw1epsAnpa
90,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,4604801,2017-01-06--2017-01-13,global,40UroIGvsMPLPBYwH8rMNA
91,Sneakin’,Drake,4601050,2017-01-06--2017-01-13,global,4ckuS4Nj4FZ7i3Def3Br8W
92,Traicionera,Sebastian Yatra,4598074,2017-01-06--2017-01-13,global,5J1c3M4EldCfNxXwrwt8mT
93,No Heart,21 Savage,4506961,2017-01-06--2017-01-13,global,4gmmRb6bZJffOOiww1JGTO
94,Redbone,Childish Gambino,4501981,2017-01-06--2017-01-13,global,3kxfsdsCpFgN412fpnW85Y
95,Lighthouse - Andrelli Remix,Hearts & Colors,4497666,2017-01-06--2017-01-13,global,04CttTezSnv71USiiG9mIo
96,La Bicicleta,Carlos Vives,4403987,2017-01-06--2017-01-13,global,0sXvAOmXgjR2QUqLK1MltU
97,Sidewalks,The Weeknd,4399980,2017-01-06--2017-01-13,global,4h90qkbnW1Qq6pBhoPvwko
98,Weak,AJR,4386477,2017-01-06--2017-01-13,global,3E2Zh20GDCR9B1EYjfXWyv
99,Needed Me,Rihanna,4385829,2017-01-06--2017-01-13,global,1Tt4sE4pXi57mTD1GCzsqm
100,Capsize,FRENSHIP,4360456,2017-01-06--2017-01-13,global,2XMTqoHHSH0lvuXrvIEdco
101,Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,4328234,2017-01-06--2017-01-13,global,0L7loeTIg6akW84aEQZpCT
102,The A Team,Ed Sheeran,4292924,2017-01-06--2017-01-13,global,1VdZ0vKfR5jneCmWIUAMxK
103,Fresh Eyes,Andy Grammer,4236925,2017-01-06--2017-01-13,global,4nMlau89VAjmV7agkl7OY3
104,Six Feet Under,The Weeknd,4166563,2017-01-06--2017-01-13,global,4mU5iXHeLgbR94siF7p1sY
105,7 Years,Lukas Graham,4165348,2017-01-06--2017-01-13,global,7129iqBafaphfc3WPCGC0L
106,Cake By The Ocean,DNCE,4121856,2017-01-06--2017-01-13,global,2aFiaMXmWsM3Vj72F9ksBl
107,This Town,Niall Horan,4041840,2017-01-06--2017-01-13,global,5nA67Y0XX9JipZwYxX7Gl7
108,Dile Que Tu Me Quieres,Ozuna,4008557,2017-01-06--2017-01-13,global,20ZAJdsKB5IGbGj4ilRt2o
109,Juju On That Beat (TZ Anthem),Zay Hilfigerrr,4003507,2017-01-06--2017-01-13,global,1lItf5ZXJc1by9SbPeljFd
110,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",IAmChino,3982937,2017-01-06--2017-01-13,global,6stYbAJgTszHAHZMPxWWCY
111,Into You,Ariana Grande,3960147,2017-01-06--2017-01-13,global,7yHEDfrJNd0zWOfXwydNH0
112,Some Kind Of Drug,G-Eazy,3906093,2017-01-06--2017-01-13,global,1Bqxj0aH5KewYHKUg1IdrF
113,Middle,DJ Snake,3900909,2017-01-06--2017-01-13,global,4OZEu0Vwq0RB2LAq14v99n
114,Deu Onda,MC G15,3879621,2017-01-06--2017-01-13,global,0EPxmvsG1BY5td4aTOkWBF
115,Dancing On My Own,Calum Scott,3875013,2017-01-06--2017-01-13,global,02WacdrRpm4zlP8H7X6bnQ
116,No Lie,Sean Paul,3872248,2017-01-06--2017-01-13,global,3cFsmM51N5zMAuu1nNY4Tw
117,Send My Love (To Your New Lover),Adele,3848138,2017-01-06--2017-01-13,global,4BHzQ9C00ceJxfG16AlNWb
118,Shaky Shaky,Daddy Yankee,3835277,2017-01-06--2017-01-13,global,58IL315gMSTD37DOZPJ2hf
119,Love On The Brain,Rihanna,3831251,2017-01-06--2017-01-13,global,2aksifNn5ph8igDOkPBA02
120,You Was Right,Lil Uzi Vert,3820845,2017-01-06--2017-01-13,global,2ANLarE8yHVsLWW21nj79M
121,Dynamite (feat. Pretty Sister),Nause,3812898,2017-01-06--2017-01-13,global,2Ae5awwKvQpTBKQHr1TYCg
122,This Girl (Kungs Vs. Cookin' On 3 Burners) - Kungs Vs. Cookin' On 3 Burners,Kungs,3807071,2017-01-06--2017-01-13,global,0tICYNayWWhH9GPeFrfjfD
123,Final Song,MØ,3729201,2017-01-06--2017-01-13,global,4qqArAiTPueDxIp7cf87h7
124,Love on Me,Galantis,3719262,2017-01-06--2017-01-13,global,2MHCiOohBZEQuLgDTPvSzF
125,Fast Car,Jonas Blue,3711721,2017-01-06--2017-01-13,global,6OZh916QF8XNunWaP97WEZ
126,No Problem (feat. Lil Wayne & 2 Chainz),Chance the Rapper,3683617,2017-01-06--2017-01-13,global,0v9Wz8o0BT8DU38R4ddjeH
127,Touch,Little Mix,3635049,2017-01-06--2017-01-13,global,5Ua3GXyHwiSfpNTMjq6m2z
128,The Greatest,Sia,3634407,2017-01-06--2017-01-13,global,6bLopGnirdrilrpdVB6Um1
129,Lean On (feat. MØ & DJ Snake),Major Lazer,3629879,2017-01-06--2017-01-13,global,4WjH9Bzt3kx7z8kl0awxh4
130,pick up the phone,Young Thug,3624025,2017-01-06--2017-01-13,global,20dP2DaMHIAmwWAbp7peSr
131,Me Llamas (feat. Maluma) - Remix,Piso 21,3593428,2017-01-06--2017-01-13,global,5hEM0JchdVzQ5PwvSfITeX
132,Swang,Rae Sremmurd,3579757,2017-01-06--2017-01-13,global,6mapJIPnQ23RTAevUoE0DL
133,DUELE EL CORAZON,Enrique Iglesias,3559357,2017-01-06--2017-01-13,global,6YZdkObH88npeKrrkb8Ggf
134,"Me, Myself & I",G-Eazy,3552258,2017-01-06--2017-01-13,global,40YcuQysJ0KlGQTeGUosTC
135,"I See Fire - From ""The Hobbit - The Desolation Of Smaug""",Ed Sheeran,3539885,2017-01-06--2017-01-13,global,3B7udSGy2PfgoCniMSb523
136,September Song,JP Cooper,3534190,2017-01-06--2017-01-13,global,0FuTx2s3YH1ppmtiM6l0zI
137,Light,San Holo,3524343,2017-01-06--2017-01-13,global,7zTx8ePYAmPFQuxP3xlXZn
138,Not Going Home,DVBBS,3483355,2017-01-06--2017-01-13,global,042x9bsUBWW2fJgJ6fUh61
139,Vacaciones,Wisin,3457996,2017-01-06--2017-01-13,global,3dQDid3IUNhZy1OehIfYfE
140,It's Gotta Be You,Isaiah,3427331,2017-01-06--2017-01-13,global,6cAKeFFYW2aClZSUyvqAEW
141,Hello,Adele,3426126,2017-01-06--2017-01-13,global,4sPmO7WMQUAf45kwMOtONw
142,OOOUUU,Young M.A,3406762,2017-01-06--2017-01-13,global,7JYsArznYOjX2jsrT3UEnL
143,Neighbors,J. Cole,3405071,2017-01-06--2017-01-13,global,0utlOiJy2weVl9WTkcEWHy
144,Sex,Cheat Codes,3352567,2017-01-06--2017-01-13,global,5DA77EqppDmCTWGovd4oTP
145,Miss You,James Hersey,3310603,2017-01-06--2017-01-13,global,7of1slAJIWrXxP8ikAHxje
146,Roses,The Chainsmokers,3260383,2017-01-06--2017-01-13,global,6O6M7pJLABmfBRoGZMu76Y
147,Stitches,Shawn Mendes,3260382,2017-01-06--2017-01-13,global,1WP1r7fuvRqZRnUaTi2I1Q
148,Lush Life,Zara Larsson,3247014,2017-01-06--2017-01-13,global,1rIKgCH4H52lrvDcz50hS8
149,That's What I Like,Bruno Mars,3207382,2017-01-06--2017-01-13,global,0KKkJNfGyhkQ5aFogxQAPU
150,Let It Go,James Bay,3203317,2017-01-06--2017-01-13,global,13HVjjWUZFaWilh2QUJKsP
151,Andas En Mi Cabeza,Chino & Nacho,3200658,2017-01-06--2017-01-13,global,5mey7CLLuFToM2P68Qu1gF
152,Reminder,The Weeknd,3193717,2017-01-06--2017-01-13,global,37F0uwRSrdzkBiuj0D5UHI
153,Borro Cassette,Maluma,3162391,2017-01-06--2017-01-13,global,6DUdDIRgLqCGq1DwkNWQTN
154,Taped up Heart (feat. Clara Mae),KREAM,3161640,2017-01-06--2017-01-13,global,26hcyzSE154xMZCbFdtInA
155,Ain't My Fault,Zara Larsson,3154692,2017-01-06--2017-01-13,global,0ADG9OgdVTL7fgREP75BrZ
156,Don't,Ed Sheeran,3141244,2017-01-06--2017-01-13,global,6gTJaPuj8DT8RjuDJyBgzP
157,PILLOWTALK,ZAYN,3130223,2017-01-06--2017-01-13,global,0PDUDa38GO8lMxLCRc4lL1
158,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,3116649,2017-01-06--2017-01-13,global,5Z01UMMf7V1o0MzF86s6WJ
159,Oh Lord,MiC LOWRY,3106807,2017-01-06--2017-01-13,global,1sTUEdVO85YU8Ymk2jeAls
160,Tenerife Sea,Ed Sheeran,3079378,2017-01-06--2017-01-13,global,6vSwxzO2Qf4BinHSXRwZJe
161,What Do You Mean?,Justin Bieber,3075414,2017-01-06--2017-01-13,global,3pzjHKrQSvXGHQ98dx18HI
162,Cake - Challenge Version,Flo Rida,3048562,2017-01-06--2017-01-13,global,6t2ubAB4iSYOuIpRAOGd4t
163,Let Me Hold You (Turn Me On),Dante Klein,3031152,2017-01-06--2017-01-13,global,0lmdsH1MIoLsMymnNpd6HU
164,The Hills,The Weeknd,3013049,2017-01-06--2017-01-13,global,25khomWgBVamSdKw7hzm3l
165,Hotline Bling,Drake,2981876,2017-01-06--2017-01-13,global,2FBUoWkIuQXwayw2RNo5l6
166,Jumpman,Drake,2976649,2017-01-06--2017-01-13,global,27GmP9AWRs744SzKcpJsTZ
167,Die For You,The Weeknd,2968344,2017-01-06--2017-01-13,global,2LBqCSwhJGcFQeTHMVGwy3
168,Give Me Love,Ed Sheeran,2968164,2017-01-06--2017-01-13,global,0SuG9kyzGRpDqrCWtgD6Lq
169,Love$ick,Mura Masa,2962375,2017-01-06--2017-01-13,global,5v9N8Rx3QsFvr50cxyQcA3
170,Million Reasons,Lady Gaga,2961828,2017-01-06--2017-01-13,global,50PWlIBU7PlGGwzgN8TiFJ
171,Cuatro Babys,Maluma,2959778,2017-01-06--2017-01-13,global,0JoHqmlqE0W0i9prt6kcHR
172,Never Be Like You,Flume,2953606,2017-01-06--2017-01-13,global,12REd1n8PeiHHWOh066tpr
173,Rockin’,The Weeknd,2951222,2017-01-06--2017-01-13,global,36YCdzT57us0LhDmCYtrNE
174,Low Life,Future,2928819,2017-01-06--2017-01-13,global,7EiZI6JVHllARrX9PUvAdX
175,Used to This,Future,2910340,2017-01-06--2017-01-13,global,78sr3ogs4UzITcCNbXM9cM
176,No Role Modelz,J. Cole,2904370,2017-01-06--2017-01-13,global,62vpWI1CHwFy7tMIcSStl8
177,Immortal,J. Cole,2883576,2017-01-06--2017-01-13,global,6AGON2BGdPmPMJGiiNuuwl
178,Moves,Big Sean,2854638,2017-01-06--2017-01-13,global,0Fv5N0cHBsl4bzCbollCAS
179,No Money,Galantis,2854485,2017-01-06--2017-01-13,global,0gb1J5UrTpzaU1s3nupgCd
180,Cocoon,Milky Chance,2852691,2017-01-06--2017-01-13,global,0L87MffumRNWrY2SNUFcvs
181,Cool Girl,Tove Lo,2833624,2017-01-06--2017-01-13,global,5dKyZWlgjWw1oJgLa4GCZD
182,Wake Up Where You Are,State of Sound,2828454,2017-01-06--2017-01-13,global,2s76aKBWKShlwPC4xTtEEE
183,You & Me,Marc E. Bassy,2810138,2017-01-06--2017-01-13,global,4QdovcM8j50QPlyR7tH4xe
184,Please Don't Go,Joel Adams,2807292,2017-01-06--2017-01-13,global,3cNjgVBKTJ1SvKhunrCdVy
185,Gyal You A Party Animal - Remix,Charly Black,2806279,2017-01-06--2017-01-13,global,1AkTW13ysu0AJrwuM6UY0I
186,goosebumps,Travis Scott,2778146,2017-01-06--2017-01-13,global,6gBFPUFcJLzWGx4lenP6h2
187,Party,Chris Brown,2752112,2017-01-06--2017-01-13,global,05Z7jet4VDNVgNQWcYHnrk
188,Gold,Kiiara,2745460,2017-01-06--2017-01-13,global,6WhzFzROw3aq3rPWjgYlxr
189,'Till I Collapse,Eminem,2726518,2017-01-06--2017-01-13,global,6yr8GiTHWvFfi4o6Q5ebdT
190,Let Her Go,Passenger,2722027,2017-01-06--2017-01-13,global,2jyjhRf6DVbMPU5zxagN2h
191,All of Me,John Legend,2694516,2017-01-06--2017-01-13,global,2q6tgiA9tpb6DMguABwCWE
192,You Don't Know Me - Radio Edit,Jax Jones,2672408,2017-01-06--2017-01-13,global,00lNx0OcTJrS3MKHcB80HY
193,Can't Feel My Face,The Weeknd,2669983,2017-01-06--2017-01-13,global,6RsWqX8zABZLhZydXxEFOm
194,Say It (feat. Tove Lo),Flume,2649639,2017-01-06--2017-01-13,global,4sQMalN597HdggTu196aL0
195,Would I Lie to You - Radio Edit,David Guetta,2647002,2017-01-06--2017-01-13,global,4PdJSsESm34djLfBde9Pr2
196,Hymn for the Weekend,Coldplay,2642353,2017-01-06--2017-01-13,global,3RiPr603aXAoi4GHyXx0uy
197,Chillax (feat. Ky-Mani Marley),Farruko,2634631,2017-01-06--2017-01-13,global,1lxswgIpzV6HhENRvkflES
198,White Iverson,Post Malone,2628592,2017-01-06--2017-01-13,global,6eT7xZZlB2mwyzJ2sUKG6w
199,True Colors,The Weeknd,2625784,2017-01-06--2017-01-13,global,6i759FCuKx713ZnYjtpQGU
200,Secrets,The Weeknd,2619942,2017-01-06--2017-01-13,global,3DX4Y0egvc0slLcLl31h2p
1,Shape of You,Ed Sheeran,51021927,2017-01-13--2017-01-20,global,7qiZfU4dY1lWllzX7mPBI3
2,Castle on the Hill,Ed Sheeran,27323673,2017-01-13--2017-01-20,global,6PCUP3dWmTjcTtXY02oFdT
3,Paris,The Chainsmokers,24678177,2017-01-13--2017-01-20,global,72jbDTw1piOOj770jWNeaG
4,Starboy,The Weeknd,24480907,2017-01-13--2017-01-20,global,5aAx2yezTd8zXrkmtKl66Z
5,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,23924628,2017-01-13--2017-01-20,global,3NdDpSvN911VPGivFlV5d0
6,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,22844114,2017-01-13--2017-01-20,global,5knuzwU65gJK7IF5yJsuaW
7,Closer,The Chainsmokers,20211268,2017-01-13--2017-01-20,global,7BKLCZ1jbUBVqRi2FVlTVw
8,Say You Won't Let Go,James Arthur,19156532,2017-01-13--2017-01-20,global,5uCax9HTNlzGybIStD3vDh
9,I Feel It Coming,The Weeknd,18566829,2017-01-13--2017-01-20,global,5GXAXm5YOmYT0kL5jHvYBt
10,Don't Wanna Know,Maroon 5,18411654,2017-01-13--2017-01-20,global,5MFzQMkrl1FOOng9tq6R9r
11,Fake Love,Drake,18376989,2017-01-13--2017-01-20,global,343YBumqHu19cGoGARUTsd
12,Bad and Boujee (feat. Lil Uzi Vert),Migos,16765636,2017-01-13--2017-01-20,global,4Km5HrUvYTaSUfiSGPJeQR
13,Call On Me - Ryan Riback Extended Remix,Starley,16094980,2017-01-13--2017-01-20,global,78rIJddV4X0HkNAInEcYde
14,Let Me Love You,DJ Snake,16040294,2017-01-13--2017-01-20,global,4pdPtRcBmOSQDlJ3Fk945m
15,Chantaje (feat. Maluma),Shakira,15422957,2017-01-13--2017-01-20,global,6mICuAdrwEjh6Y6lroV2Kg
16,24K Magic,Bruno Mars,15364799,2017-01-13--2017-01-20,global,6b8Be6ljOzmkOmFslEb23P
17,Just Hold On,Steve Aoki,15181450,2017-01-13--2017-01-20,global,3EmmCZoqpWOTY1g2GBwJoR
18,Bad Things (with Camila Cabello),Machine Gun Kelly,14805806,2017-01-13--2017-01-20,global,1PSBzsahR2AKwLJgx8ehBj
19,Black Beatles,Rae Sremmurd,13484864,2017-01-13--2017-01-20,global,6fujklziTHa8uoM5OQSfIo
20,Side To Side,Ariana Grande,12533265,2017-01-13--2017-01-20,global,4pLwZjInHj3SimIyN9SnOz
21,One Dance,Drake,12416721,2017-01-13--2017-01-20,global,1xznGGDReH1oQq0xzbwXa3
22,Cold Water (feat. Justin Bieber & MØ),Major Lazer,12220216,2017-01-13--2017-01-20,global,6DNtNfH8hXkqOX1sjqmI7p
23,Mercy,Shawn Mendes,12117665,2017-01-13--2017-01-20,global,4TZy1wLyHec06pwgFYDh1a
24,In the Name of Love,Martin Garrix,11960712,2017-01-13--2017-01-20,global,04DwTuZ2VBdJCCC5TROn7L
25,All We Know,The Chainsmokers,11587191,2017-01-13--2017-01-20,global,2rizacJSyD9S1IQUxUxnsK
26,"How Far I'll Go - From ""Moana""",Alessia Cara,11507268,2017-01-13--2017-01-20,global,5hYTyyh2odQKphUbMqc5gN
27,All Night,The Vamps,11111069,2017-01-13--2017-01-20,global,1yNyoWWWikbLhwIGWjZuDW
28,Hear Me Now,Alok,10828136,2017-01-13--2017-01-20,global,1a5Yu5L18qNxVhXx38njON
29,Now and Later,Sage The Gemini,10624362,2017-01-13--2017-01-20,global,43jBqV3j3Xi1g6wO0bhIMd
